groupID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,normCount_Control,normCount_Experimental,normCount.Control_S1,normCount.Control_S2,normCount.Control_S3,normCount.Experimental_S4,normCount.Experimental_S5,normCount.Experimental_S6
ACCS,7.8427495042791,-0.789108453313023,2.17182856985461,-0.363338278290469,0.716352202366104,0.996294710336961,9.65786746520218,6.02763154335603,21.6209771628154,7.35262523279116,0,0,0,18.0828946300681
ACE,60.1564942495434,1.32986746977117,0.716981993197219,1.85481292750594,0.063622945335244,0.891663350651627,46.6479414983372,73.6650470007497,53.0696712178196,84.0300026604704,2.84415061672159,77.9790882731861,84.512570102372,58.5034826266908
ACER3,204.25319474638,1.05677251810625,0.341720524405706,3.09250525687359,0.00198474718380782,0.407851177625858,133.444869342039,275.061520150721,113.018744260171,127.095379023962,160.220484741983,255.903205178202,300.165335191183,269.116020082778
ACIN1,262.828410900976,0.177491429090777,0.303941390838315,0.583965969890543,0.559243207444925,0.996294710336961,247.615405277265,278.041416524686,271.244986224411,257.341883147691,214.259346459693,260.296393249931,257.909050139997,315.918806184131
ACLY,1691.7732954831,0.0135795214374376,0.143693886905512,0.0945031255669701,0.924709499715738,0.996580054638504,1689.1965969858,1694.3499939804,1407.32905896144,1818.19918256593,1842.06154943002,1561.77835949959,1744.89314995846,1776.37847248316
ACO1,703.811764122973,-0.0189433981666548,0.213327352290072,-0.0887996685061579,0.929241121145415,0.997480238800445,699.294254354806,708.329273891141,729.21659340041,551.446892459337,817.219277204671,586.490607575794,905.595902045245,632.901312052383
ACO2,536.980763253454,-0.423630413085774,0.23103560328919,-1.833615282903,0.0667111219973969,0.903548220102363,609.278287964405,464.683238542503,517.92068021835,541.993517160034,767.92066651483,339.373778541049,632.387162490163,422.288774596296
ACOT11,34.7585561115864,2.02466062587077,0.995674468321456,2.03345640597174,0.0420064336057284,0.82869888739163,13.8080091352262,55.7091030879466,15.7243470275021,1.05037503325588,24.6493053449205,63.7012270400675,75.7698904366094,27.6561917871629
ACOT13,334.567218614289,-0.153798971340557,0.296729020511875,-0.518314558768957,0.604238816770035,0.996294710336961,346.954294952818,322.180142275759,270.262214535192,387.58838727142,383.012283051841,355.848233810032,390.506358404064,220.185834613182
ACOT9,621.823340679103,0.288034076360067,0.200701045904675,1.43513988709791,0.151247239267231,0.974401534329554,562.283471982039,681.363209376167,542.489972448822,565.101767891664,579.258675605631,665.567992866912,610.530463325757,767.991171935833
ACOX1,300.935090240345,-0.0852821946434854,0.282435489896327,-0.30195282708554,0.762688023901562,0.996294710336961,309.887339089303,291.982841391386,274.193301292068,276.248633746296,379.220082229546,270.181066411321,338.778837048302,266.988620714535
ACOX3,231.088932236048,0.318493642411873,0.364960490148396,0.872679785919762,0.382837638620623,0.992443630108828,214.356844996533,247.821019475564,295.814278454883,236.334382482573,110.921874052142,181.219007958813,209.095755339489,353.148295128388
ACP1,673.034058935765,0.184929466080761,0.192234787518151,0.961997921751287,0.336050647887191,0.986943211920092,631.297630816655,714.770487054876,669.267520358058,639.678395252831,584.946976839075,739.153893068369,652.058191738129,753.099376358129
ACP2,307.115936387583,0.16065059373878,0.316924888548526,0.506904315639389,0.612221957447427,0.996294710336961,290.817906696816,323.41396607835,263.38281271066,403.344012770258,205.726894609529,382.207362240405,298.708221913556,289.326314081089
ACSL3,930.763157887337,-0.357148725162634,0.18595391424104,-1.92063031649705,0.054778330325074,0.869042076164583,1048.38608871828,813.140227056393,1069.25559787014,1252.04703964101,823.855628643688,771.004506588403,618.544586352706,1049.87158822807
ACSL4,1265.75607504151,0.15920056623744,0.175717697341716,0.906001891931495,0.364934851051261,0.992443630108828,1192.64076968423,1338.87138039879,1437.79498132722,1006.25928185913,1133.86804586634,1189.45567042057,1457.1132776271,1370.04519314869
ACTB,28904.9918165328,-0.172898956268543,0.0838108010147619,-2.06296747167576,0.0391157187903914,0.810377133390495,30671.1692058372,27138.8144272283,33858.4502369689,27431.5943685106,30723.4630120322,25514.5380235829,26767.1709100099,29134.734348092
ACTL6A,209.098678485207,-0.108923519311413,0.342727341011924,-0.317813918754801,0.750626092054966,0.996294710336961,221.223367832949,196.973989137465,320.383570685355,224.780257116758,118.506275696733,226.249185694033,206.181528784235,158.491252934126
ACTN1,16595.4285361,-0.10849034132286,0.0675509881522309,-1.60605113693333,0.108262674701244,0.961015869502668,17240.3843925807,15950.4726796194,16791.6370819938,17298.6264226911,17630.8896730572,15288.2944896162,15869.4207066368,16693.7028426052
ACTR10,867.638010820057,0.246145277022952,0.196535295139601,1.25242276125574,0.210415856726422,0.98168489642748,800.070773144833,935.20524849528,574.921438193045,888.617278134475,936.673603106978,919.27460400925,972.623112816092,913.718028660499
ACTR1A,1820.09877824097,-0.201079214461409,0.142435303240328,-1.411723146488,0.158031495224562,0.974401534329554,1949.81698132681,1690.38057515513,2238.75390804061,1873.86905932849,1736.82797661132,1980.22952333175,1468.77018384812,1622.14201828552
ACTR2,6048.67799477545,-0.00322561096464653,0.09049166745351,-0.0356453920611384,0.971565113670668,0.998879356112684,6081.87723286915,6015.47875668174,5539.88401212683,5770.76043270781,6934.98725377282,5400.32643717262,6216.04524235723,6430.06459051538
ACTR3,2626.9526974748,-0.128670001289387,0.120380206102301,-1.06886344072248,0.285131207718414,0.982783504448174,2754.73950469531,2499.16589025428,2641.69030062035,2730.97508646529,2891.55312700029,2271.27823308379,2124.47115878032,3101.74827889874
ACTR3B,36.6994385040698,0.0129826029590184,0.82955837798103,0.0156500172906642,0.987513602530635,0.998987745956335,34.8752185630052,38.5236584451344,29.4831506765664,60.9217519288411,14.220753083608,39.5386926455591,59.0130877438977,17.0191949459464
ACTR6,79.7738896444803,0.654682584818461,0.558888845239104,1.17140034265378,0.241437894609943,0.98168489642748,62.4177360207627,97.130043268198,67.8112465561028,77.7277524609351,41.7142090452501,133.992236187728,78.6841169918636,78.7137766250022
ACTR8,219.918962339786,0.294142987732471,0.402955692476384,0.729963599533243,0.465412434858167,0.994447194724684,195.366249423542,244.471675256031,175.91613237018,259.442633214202,150.739982686245,387.698847330066,120.211845404236,225.50433303379
ACTRT3,57.9652621385926,0.333516592477606,0.646483624477504,0.515893334107508,0.605928910000401,0.996294710336961,45.1795247563743,70.7509995208108,33.414237433442,55.6698767625617,46.4544600731194,60.4063359862709,16.7568026927117,135.08985988345
ACVR2A,40.2801512872366,0.103214458897826,0.791428397413893,0.130415409953818,0.896237775331736,0.996577394764533,37.331377901509,43.2289246729643,22.6037488520343,51.4683766295381,37.9220082229546,50.5216628248811,56.8274178274571,22.3376933665547
ACVRL1,1796.10737735567,-0.184059171829319,0.137142642069849,-1.34210023265831,0.179563498473298,0.98168489642748,1912.9846700559,1679.23008465544,1913.45647890916,2015.66968881803,1809.82784244051,1916.52829629169,1486.25554317965,1634.90641449498
ACYP2,110.191793279692,-0.206524632424074,0.462326807246668,-0.446707024526669,0.655086609287628,0.996294710336961,117.090484331527,103.293102227856,118.915374395485,117.642003724659,114.714074874438,86.7654644166437,123.12607195949,99.9877703074353
ADAL,14.5711357933416,0.633719109363341,1.5186805732728,0.417282686376675,0.676471650905504,0.996294710336961,11.4479638021618,17.6943077845213,3.93108675687552,10.5037503325588,19.9090543170512,0,9.47123630457618,43.6116870489877
ADAM10,1067.47747140968,0.164065380547337,0.203489521482672,0.806259601732409,0.420093178829809,0.992443630108828,1006.20334569338,1128.75159712597,924.788159554967,1358.13491799985,735.686959525319,993.95880122864,1264.77432498033,1127.52166516895
ADAM12,140.658783090364,0.234346902450286,0.427483972429898,0.548200441570277,0.58355427894817,0.996294710336961,129.430311333643,151.887254847085,148.398525072051,97.6848780927969,142.20753083608,171.334334797423,144.982771123897,139.344658619936
ADAM17,1155.13894160416,0.0368082098674432,0.16862745082722,0.218281244761019,0.827209986653338,0.996294710336961,1140.50385360377,1169.77402960455,960.167940366847,1286.70941573845,1174.63420470602,1204.83182867162,1189.73299118253,1114.75726895949
ADAM23,205.491447893418,0.0536790274212049,0.362921237184576,0.14790820134316,0.882415215665701,0.996577394764533,202.303741496917,208.679154289919,192.623251086901,223.729882083503,190.558091320347,161.449661636033,190.153282730337,274.434518503386
ADAMTS1,644.326416489164,0.414246914304228,0.21044944073668,1.96839161393898,0.0490229960519578,0.857187196127094,563.021482527773,725.631350450554,475.661497581938,475.819890064914,737.583059936467,616.144627059963,609.801906686943,950.947517604757
ADAMTS7,167.418139474739,0.482423250608329,0.446148545659122,1.08130633911541,0.279560868560809,0.982783504448174,139.074467118889,195.761811830589,114.00151594939,163.858505187917,139.363380219358,104.338216703559,240.423690808472,242.523527979737
ADAMTSL1,356.305197654641,-0.326533411472315,0.281790559545492,-1.15878052124596,0.246545659285735,0.98168489642748,394.031443139319,318.578952169963,421.6090546749,351.87563614072,408.609638602336,246.018532016812,381.035122099488,328.68320239359
ADAMTSL5,24.3917521683604,-0.408335916402596,1.23458107910927,-0.330748561849987,0.740834417679612,0.996294710336961,24.1971688597379,24.5863354769829,22.6037488520343,16.8060005320941,33.1817571950853,35.1455045738304,38.6135018571183,0
ADAR,575.594507272169,0.0563009195854424,0.213782110739494,0.263356552102005,0.792275775251911,0.996294710336961,568.279032427931,582.909982116406,546.421059205698,475.819890064914,682.596148013183,574.40934037854,585.030980967282,589.289625003395
ADARB1,89.1542931590737,1.01303288539173,0.516551868053584,1.96114455883963,0.0498621620692686,0.857187196127094,57.2162927561471,121.092293562,48.1558127717252,60.9217519288411,62.5713135678751,120.812671972542,157.368233983727,85.0959747297321
ADAT1,219.58197292026,0.336693802255616,0.3419734377294,0.98456127028801,0.324839621573693,0.986152964913951,194.660009688563,244.503936151956,148.398525072051,218.478006917223,217.103497076415,254.80490816027,254.26626694593,224.440633349669
ADAT2,57.0043283209078,-0.367420763759519,0.688643321337068,-0.53354291310941,0.593657813520223,0.996294710336961,64.6870303540266,49.3216262877889,80.5872785159483,65.1232520618646,48.3505604842671,25.2608314124406,40.7991717735589,81.9048756773672
ADD3,228.979709166224,-0.42876731028917,0.338517747389901,-1.26660216072902,0.205297579466699,0.98168489642748,263.548005712595,194.411412619854,215.226999938935,310.911009843741,264.506007355108,218.561106568507,152.996894150846,211.676237140209
ADGRA2,81.2886802058499,-0.126701509844513,0.626750197535614,-0.202156314178606,0.839794524210598,0.996294710336961,86.1724238552142,76.4049365564857,115.967059327828,100.836003192565,41.7142090452501,142.778612331186,50.2704080781351,36.1657892601362
ADGRA3,161.259608329982,-0.131195297354472,0.382986788900876,-0.342558284401889,0.731930789374492,0.996294710336961,156.678356322916,165.840860337048,147.415753382832,158.606630021638,164.012685564279,132.893939169796,271.023069638641,93.6055722027053
ADGRF5,119.600573198633,-0.422904852142808,0.682232233224928,-0.61988400950176,0.535334154106945,0.996294710336961,127.635545568872,111.565600828393,110.070429192515,143.901379556056,128.934827958046,190.00538410227,134.054421541694,10.6369968412165
ADGRG6,743.250405069475,-0.246781115975624,0.190288081530435,-1.29688162280491,0.194671920549128,0.98168489642748,808.404796410605,678.096013728346,767.544689279946,861.307527269822,796.362172682046,745.743675175963,600.330670382367,688.213695626709
ADGRL2,124.155750072539,0.398318537306767,0.443107517756851,0.898920738973647,0.368694880495615,0.992443630108828,107.881387458586,140.430112686491,79.6045068267294,120.793128824426,123.246526724602,139.483721277389,143.52565784627,138.280958935815
ADGRL4,1450.98120098945,0.13711462497027,0.137949192517878,0.993950181712738,0.320247121838607,0.986152964913951,1377.44886427426,1524.51353770464,1371.94927814956,1398.04916926358,1362.34814540964,1565.07325055338,1594.81048236287,1413.65688019768
