groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
ARF1,2,0,0,1,NA,NA,NA,1
ARF3,5,0,0,1,NA,NA,NA,1
ARF4,5,0,0,1,NA,NA,NA,1
ARF6,3,0,0,1,NA,NA,NA,1
ARFGAP1,2,0,0,1,NA,NA,NA,1
ARFGAP3,2,0,0,1,NA,NA,NA,1
ARFGEF1,4,0,0,1,NA,NA,NA,1
ARFGEF2,2,0,0,1,NA,NA,NA,1
ARFGEF3,3,0,0,1,NA,NA,NA,1
ARFIP1,2,0,0,1,NA,NA,NA,1
ARFRP1,3,0,0,1,NA,NA,NA,1
ARG2,2,0,0,1,NA,NA,NA,1
ARHGAP12,2,0,0,1,NA,NA,NA,1
ARHGAP18,7,0,0,1,NA,NA,NA,1
ARHGAP24,4,0,0,1,NA,NA,NA,1
ARHGAP26,2,0,0,1,NA,NA,NA,1
ARHGAP31,3,0,0,1,NA,NA,NA,1
ARHGAP32,2,0,0,1,NA,NA,NA,1
ARHGAP35,4,0,0,1,NA,NA,NA,1
ARHGAP5,9,0,0,1,NA,NA,NA,1
ARHGDIA,2,0,0,1,NA,NA,NA,1
ARHGEF12,2,0,0,1,NA,NA,NA,1
ARHGEF15,2,0,0,1,NA,NA,NA,1
ARHGEF17,3,0,0,1,NA,NA,NA,1
ARHGEF28,5,0,0,1,NA,NA,NA,1
ARHGEF40,2,0,0,1,NA,NA,NA,1
ARHGEF7,3,0,0,1,NA,NA,NA,1
ARHGEF9,2,0,0,1,NA,NA,NA,1
ARID1A,2,0,0,1,NA,NA,NA,1
ARID1B,5,0,0,1,NA,NA,NA,1
ARID2,4,0,0,1,NA,NA,NA,1
ARID3A,5,0,0,1,NA,NA,NA,1
ARID4A,4,0,0,1,NA,NA,NA,1
ARID4B,2,0,0,1,NA,NA,NA,1
ARIH1,11,0,0,1,NA,NA,NA,1
ARIH2,3,0,0,1,NA,NA,NA,1
ARK2N,2,0,0,1,NA,NA,NA,1
ARL1,5,0,0,1,NA,NA,NA,1
ARL10,2,0,0,1,NA,NA,NA,1
ARL14EP,4,0,0,1,NA,NA,NA,1
ARL2BP,3,0,0,1,NA,NA,NA,1
ARL3,3,0,0,1,NA,NA,NA,1
ARL4A,4,0,0,1,NA,NA,NA,1
ARL4C,3,0,0,1,NA,NA,NA,1
ARL4D,2,0,0,1,NA,NA,NA,1
ARL5A,9,0,0,1,NA,NA,NA,1
ARL5B,2,0,0,1,NA,NA,NA,1
ARL6,3,0,0,1,NA,NA,NA,1
ARL6IP1,3,0,0,1,NA,NA,NA,1
ARL6IP5,6,0,0,1,NA,NA,NA,1
ARL6IP6,2,0,0,1,NA,NA,NA,1
ARL8A,2,0,0,1,NA,NA,NA,1
ARL8B,7,0,0,1,NA,NA,NA,1
ARMC1,5,0,0,1,NA,NA,NA,1
ARMC10,2,0,0,1,NA,NA,NA,1
ARMC8,3,0,0,1,NA,NA,NA,1
ARMC9,4,0,0,1,NA,NA,NA,1
ARMCX2,3,0,0,1,NA,NA,NA,1
ARMCX3,2,0,0,1,NA,NA,NA,1
ARMCX4,2,0,0,1,NA,NA,NA,1
ARMH3,2,0,0,1,NA,NA,NA,1
ARMH4,2,0,0,1,NA,NA,NA,1
ARNT,3,0,0,1,NA,NA,NA,1
ARPC2,2,0,0,1,NA,NA,NA,1
ARPC4,2,0,0,1,NA,NA,NA,1
ARPC5,6,0,0,1,NA,NA,NA,1
ARPC5L,5,0,0,1,NA,NA,NA,1
ARPIN,3,0,0,1,NA,NA,NA,1
ARPP19,6,0,0,1,NA,NA,NA,1
ARRB1,4,0,0,1,NA,NA,NA,1
ARRDC3,2,0,0,1,NA,NA,NA,1
ARSA,2,0,0,1,NA,NA,NA,1
ARSB,2,0,0,1,NA,NA,NA,1
ARSD,3,0,0,1,NA,NA,NA,1
ARSJ,4,0,0,1,NA,NA,NA,1
ARSK,2,0,0,1,NA,NA,NA,1
ART4,4,0,0,1,NA,NA,NA,1
ASAH1,2,0,0,1,NA,NA,NA,1
ASAH2B,4,0,0,1,NA,NA,NA,1
ASAP1,4,0,0,1,NA,NA,NA,1
ASB1,3,0,0,1,NA,NA,NA,1
ASB3,3,0,0,1,NA,NA,NA,1
ASB6,2,0,0,1,NA,NA,NA,1
ASB8,5,0,0,1,NA,NA,NA,1
ASCC1,4,0,0,1,NA,NA,NA,1
ASCC3,2,0,0,1,NA,NA,NA,1
ASF1A,3,0,0,1,NA,NA,NA,1
ASH1L,2,0,0,1,NA,NA,NA,1
ASL,2,0,0,1,NA,NA,NA,1
ASPH,3,0,0,1,NA,NA,NA,1
ASPHD2,2,0,0,1,NA,NA,NA,1
ASRGL1,2,0,0,1,NA,NA,NA,1
ASTN2,2,0,0,1,NA,NA,NA,1
ASXL1,4,0,0,1,NA,NA,NA,1
ASXL2,4,0,0,1,NA,NA,NA,1
ATAD1,7,0,0,1,NA,NA,NA,1
ATAD2,3,0,0,1,NA,NA,NA,1
ATAD2B,2,0,0,1,NA,NA,NA,1
ATF1,4,0,0,1,NA,NA,NA,1
ATF2,3,0,0,1,NA,NA,NA,1
ATF5,2,0,0,1,NA,NA,NA,1
